Title,Loser,Winner,Weight_Class,Method,Rounds,Time,Time Format,Refree,Details,Fighter(A),KnockDowns(A),LANDED SIG. STR(A),ATTEMPTED SIG. STR(A),SIG. STR%(A),TOTAL STR(A),LANDED_TD(A),ATTEMPTED_TD(A),TD% (A),SUB_ATT(A),REV(A),CTRL(A),HEAD(A),BODY(A),LEG(A),DISTANCE(A),CLINCH(A),GROUND(A),Fighter(B),KnockDowns(B),LANDED SIG. STR(B),ATTEMPTED SIG. STR(B),SIG. STR%(B),TOTAL STR(B),LANDED_TD(B),ATTEMPTED_TD(B),TD% (B),SUB_ATT(B),REV(B),CTRL(B),HEAD(B),BODY(B),LEG(B),DISTANCE(B),CLINCH(B),GROUND(B)
UFC Fight Night: Rozenstruik vs. Gane,Maxim Grishin ,Dustin Jacoby ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 28 - 29. Sal D'amato 28 - 29. Tony Weeks 28 - 29.,Dustin Jacoby ,0,57,137,41%,60 of 141,0,0,---,0,0,0:48,25 of 88,7 of 15,25 of 34,55 of 133,2 of 4,0 of 0,Maxim Grishin ,2,66,156,42%,80 of 172,0,2,0%,0,0,1:16,31 of 110,8 of 16,27 of 30,59 of 144,2 of 5,5 of 7
UFC 231: Holloway vs. Ortega,Devin Clark ,Aleksandar Rakic ,Light Heavyweight Bout, KO/TKO ,1,4:05,3 Rnd (5-5-5),Brian Beauchamp,Spinning Back Fist Head,Devin Clark ,1,19,31,61%,24 of 36,0,2,0%,0,0,0:50,15 of 26,0 of 1,4 of 4,3 of 13,9 of 10,7 of 8,Aleksandar Rakic ,1,31,45,68%,33 of 47,0,1,0%,0,0,1:06,12 of 24,10 of 10,9 of 11,11 of 19,10 of 10,10 of 16
UFC Fight Night: Lee vs. Iaquinta,Chris de la Rocha ,Juan Adams ,Heavyweight Bout, KO/TKO ,3,0:58,3 Rnd (5-5-5),Joe Fipp,Knee to Body In Clinch,Chris de la Rocha ,0,41,76,53%,46 of 81,1,2,50%,0,0,0:59,30 of 64,10 of 11,1 of 1,36 of 67,3 of 7,2 of 2,Juan Adams ,0,86,144,59%,121 of 180,2,2,100%,0,0,4:36,74 of 131,8 of 8,4 of 5,38 of 85,13 of 15,35 of 44
UFC 232: Jones vs. Gustafsson 2,Brian Kelleher ,Montel Jackson ,Bantamweight Bout, Submission ,1,1:40,3 Rnd (5-5-5),Ed Collantes,D'Arce Choke On Ground,Brian Kelleher ,0,6,10,60%,6 of 10,0,1,0%,0,0,0:05,0 of 3,0 of 1,6 of 6,6 of 10,0 of 0,0 of 0,Montel Jackson ,0,10,16,62%,16 of 27,0,0,---,1,0,0:16,6 of 11,2 of 3,2 of 2,7 of 12,1 of 1,2 of 3
UFC Fight Night: Cejudo vs. Dillashaw,Kyle Stewart ,Chance Rencountre ,Welterweight Bout, Submission ,1,2:25,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,Kyle Stewart ,0,2,11,18%,2 of 11,0,0,---,0,0,0:00,0 of 9,2 of 2,0 of 0,2 of 11,0 of 0,0 of 0,Chance Rencountre ,0,6,9,66%,13 of 22,2,3,66%,1,0,1:59,5 of 8,0 of 0,1 of 1,4 of 7,0 of 0,2 of 2
UFC Fight Night: Assuncao vs. Moraes 2,Bibulatov Magomed ,Rogerio Bontorin ,Flyweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Jerin Valel,Mike Bell 28 - 29. Guilherme Bravo 29 - 28. Joseph Terrell 28 - 29.,Bibulatov Magomed ,0,58,98,59%,66 of 107,4,8,50%,0,0,2:16,21 of 57,35 of 39,2 of 2,41 of 78,14 of 16,3 of 4,Rogerio Bontorin ,0,40,77,51%,52 of 89,1,3,33%,2,1,2:58,27 of 62,11 of 12,2 of 3,33 of 70,6 of 6,1 of 1
UFC 234: Adesanya vs. Silva,Wuliji Buren ,Jonathan Martinez ,Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Anthony Dimitriou 27 - 30. Garth Harriman 27 - 30. Evan Field 28 - 29.,Wuliji Buren ,0,17,31,54%,24 of 40,3,6,50%,1,2,3:58,8 of 19,5 of 8,4 of 4,12 of 24,0 of 0,5 of 7,Jonathan Martinez ,0,47,87,54%,63 of 110,1,2,50%,0,1,7:24,27 of 55,5 of 9,15 of 23,18 of 46,4 of 5,25 of 36
UFC Fight Night: Ngannou vs. Velasquez,Aleksandra Albu ,Emily Whitmire ,Women's Strawweight Bout, Submission ,1,1:01,3 Rnd (5-5-5),Ryan Brueggeman,Rear Naked Choke,Aleksandra Albu ,0,2,5,40%,2 of 6,0,0,---,0,0,0:00,2 of 5,0 of 0,0 of 0,2 of 5,0 of 0,0 of 0,Emily Whitmire ,0,3,5,60%,8 of 11,1,1,100%,1,0,0:51,2 of 4,0 of 0,1 of 1,3 of 5,0 of 0,0 of 0
UFC 2: No Way Out,Sean Daugherty ,Scott Morris ,Open Weight Bout, Submission ,1,0:20,No Time Limit,John McCarthy,Guillotine Choke From Mount,Scott Morris ,0,1,1,100%,2 of 2,1,1,100%,1,0,--,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,Sean Daugherty ,0,0,4,0%,1 of 5,0,0,---,0,0,--,0 of 2,0 of 0,0 of 2,0 of 3,0 of 1,0 of 0
UFC 2: No Way Out,Ray Wizard ,Patrick Smith ,Open Weight Bout, Submission ,1,0:58,No Time Limit,John McCarthy,Guillotine Choke Standing,Patrick Smith ,0,1,1,100%,1 of 1,0,1,0%,1,0,--,0 of 0,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,Ray Wizard ,0,1,1,100%,2 of 2,0,0,---,0,0,--,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
UFC 2: No Way Out,David Levicki ,Johnny Rhodes ,Open Weight Bout, KO/TKO ,1,12:13,No Time Limit,John McCarthy,Punches to Head From Guard Submission to Strikes,Johnny Rhodes ,0,11,17,64%,74 of 86,1,1,100%,0,0,--,9 of 15,1 of 1,1 of 1,1 of 1,1 of 1,9 of 15,David Levicki ,0,4,5,80%,95 of 102,0,0,---,0,0,--,4 of 5,0 of 0,0 of 0,1 of 2,2 of 2,1 of 1
UFC 2: No Way Out,Thaddeus Luster ,Frank Hamaker ,Open Weight Bout, Submission ,1,4:52,No Time Limit,John McCarthy,Keylock From Half Guard,Frank Hamaker ,0,2,3,66%,14 of 15,1,1,100%,3,1,--,2 of 3,0 of 0,0 of 0,1 of 1,0 of 0,1 of 2,Thaddeus Luster ,0,0,0,---,0 of 0,0,1,0%,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
UFC 2: No Way Out,Robert Lucarelli ,Orlando Wiet ,Open Weight Bout, KO/TKO ,1,2:50,No Time Limit,John McCarthy,to Corner Stoppage,Orlando Wiet ,0,8,12,66%,11 of 15,0,0,---,0,0,--,7 of 11,1 of 1,0 of 0,1 of 3,0 of 0,7 of 9,Robert Lucarelli ,0,2,6,33%,2 of 6,1,1,100%,1,0,--,1 of 2,0 of 1,1 of 3,2 of 6,0 of 0,0 of 0
UFC 2: No Way Out,Alberta Cerra Leon ,Remco Pardoel ,Open Weight Bout, Submission ,1,9:51,No Time Limit,John McCarthy,Other - Choke From Side Control Ezekiel Choke,Remco Pardoel ,0,4,6,66%,20 of 22,1,1,100%,1,0,--,4 of 5,0 of 0,0 of 1,0 of 1,0 of 0,4 of 5,Alberta Cerra Leon ,0,1,3,33%,9 of 11,0,0,---,0,0,--,1 of 3,0 of 0,0 of 0,1 of 1,0 of 0,0 of 2
UFC 2: No Way Out,Scott Baker ,Jason DeLucia ,Open Weight Bout, Submission ,1,6:41,No Time Limit,John McCarthy,Triangle Choke From Mount,Jason DeLucia ,0,3,5,60%,20 of 25,0,1,0%,5,4,--,1 of 2,1 of 2,1 of 1,2 of 4,0 of 0,1 of 1,Scott Baker ,0,0,2,0%,14 of 23,1,1,100%,0,2,--,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
UFC 2: No Way Out,Minoki Ichihara ,Royce Gracie ,Open Weight Bout, Submission ,1,5:08,No Time Limit,John McCarthy,Armbar On Ground,Royce Gracie ,0,2,4,50%,110 of 114,1,1,100%,2,0,--,0 of 0,0 of 0,2 of 4,2 of 4,0 of 0,0 of 0,Minoki Ichihara ,0,3,7,42%,12 of 16,0,0,---,0,0,--,3 of 6,0 of 0,0 of 1,0 of 2,0 of 0,3 of 5
UFC 2: No Way Out,Scott Morris ,Patrick Smith ,Open Weight Bout, KO/TKO ,1,0:30,No Time Limit,John McCarthy,Elbows to Head From Mount,Patrick Smith ,0,13,17,76%,19 of 25,0,0,---,0,0,--,12 of 16,1 of 1,0 of 0,0 of 0,1 of 1,12 of 16,Scott Morris ,0,0,0,---,0 of 0,0,1,0%,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
UFC 2: No Way Out,Fred Ettish ,Johnny Rhodes ,Open Weight Bout, Submission ,1,3:07,No Time Limit,John McCarthy,Other - Choke On Ground Bulldog Choke,Johnny Rhodes ,1,13,29,44%,21 of 38,0,0,---,1,0,--,12 of 28,0 of 0,1 of 1,3 of 6,1 of 2,9 of 21,Fred Ettish ,0,4,7,57%,7 of 11,0,0,---,0,0,--,0 of 1,2 of 4,2 of 2,4 of 7,0 of 0,0 of 0
UFC 2: No Way Out,Orlando Wiet ,Remco Pardoel ,Open Weight Bout, KO/TKO ,1,1:29,No Time Limit,John McCarthy,Elbows to Head From Side Control,Remco Pardoel ,0,7,7,100%,7 of 7,1,1,100%,0,0,--,7 of 7,0 of 0,0 of 0,0 of 0,0 of 0,7 of 7,Orlando Wiet ,0,1,2,50%,5 of 7,0,0,---,0,0,--,0 of 1,0 of 0,1 of 1,1 of 2,0 of 0,0 of 0
UFC 2: No Way Out,Jason DeLucia ,Royce Gracie ,Open Weight Bout, Submission ,1,1:07,No Time Limit,John McCarthy,Armbar From Mount,Royce Gracie ,0,0,0,---,0 of 0,0,0,---,1,1,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,Jason DeLucia ,0,0,0,---,0 of 0,1,1,100%,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
UFC 2: No Way Out,Johnny Rhodes ,Patrick Smith ,Open Weight Bout, Submission ,1,1:07,No Time Limit,John McCarthy,Guillotine Choke Standing,Patrick Smith ,0,5,12,41%,5 of 12,0,0,---,1,0,--,1 of 4,2 of 2,2 of 6,3 of 10,2 of 2,0 of 0,Johnny Rhodes ,0,4,9,44%,4 of 9,0,0,---,0,0,--,2 of 5,0 of 0,2 of 4,4 of 9,0 of 0,0 of 0
UFC 2: No Way Out,Remco Pardoel ,Royce Gracie ,Open Weight Bout, Submission ,1,1:31,No Time Limit,John McCarthy,Gi Choke From Back Control,Royce Gracie ,0,0,0,---,0 of 0,1,2,50%,1,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,Remco Pardoel ,0,0,0,---,0 of 0,0,0,---,0,0,--,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
UFC 2: No Way Out,Patrick Smith ,Royce Gracie ,UFC 2 Tournament Title Bout, KO/TKO ,1,1:17,No Time Limit,John McCarthy,Punches to Head From Mount Submission to Strikes,Royce Gracie ,0,4,4,100%,11 of 11,1,2,50%,0,0,--,3 of 3,0 of 0,1 of 1,0 of 0,1 of 1,3 of 3,Patrick Smith ,0,1,2,50%,2 of 3,0,0,---,0,0,--,0 of 0,1 of 2,0 of 0,0 of 1,1 of 1,0 of 0
UFC Fight Night: Ngannou vs. Velasquez,Renan Barao ,Luke Sanders ,Bantamweight Bout, KO/TKO ,2,1:01,3 Rnd (5-5-5),Al Guinee,Punch to Head At Distance,Renan Barao ,0,40,78,51%,41 of 79,0,0,---,0,0,0:00,10 of 33,27 of 41,3 of 4,34 of 72,6 of 6,0 of 0,Luke Sanders ,1,39,75,52%,41 of 78,0,1,0%,0,0,0:17,26 of 58,6 of 8,7 of 9,34 of 70,2 of 2,3 of 3
UFC Fight Night: Ngannou vs. Velasquez,Scott Holtzman ,Nik Lentz ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Flores 28 - 29. Dennis O'Connell 28 - 29. Mike Bell 28 - 29.,Scott Holtzman ,0,54,122,44%,86 of 157,0,0,---,0,0,0:17,39 of 99,13 of 21,2 of 2,40 of 107,7 of 8,7 of 7,Nik Lentz ,0,71,122,58%,79 of 130,5,19,26%,1,0,6:47,39 of 88,16 of 18,16 of 16,55 of 105,16 of 17,0 of 0
UFC Fight Night: Ngannou vs. Velasquez,Ashlee Evans-Smith ,Andrea Lee ,Women's Flyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Al Guinee,Chris Lee 27 - 30. Derek Cleary 27 - 30. Raul Porrata 27 - 30.,Ashlee Evans-Smith ,0,66,225,29%,71 of 230,2,10,20%,0,0,0:36,38 of 178,20 of 36,8 of 11,56 of 214,8 of 9,2 of 2,Andrea Lee ,0,111,209,53%,118 of 216,0,2,0%,0,0,1:25,47 of 132,34 of 46,30 of 31,98 of 190,11 of 17,2 of 2
UFC Fight Night: Ngannou vs. Velasquez,Benito Lopez ,Manny Bermudez ,Bantamweight Bout, Submission ,1,3:09,3 Rnd (5-5-5),Keith Peterson,Guillotine Choke On Ground,Benito Lopez ,0,7,12,58%,11 of 16,0,0,---,0,0,0:59,3 of 8,0 of 0,4 of 4,2 of 6,5 of 6,0 of 0,Manny Bermudez ,0,7,10,70%,14 of 19,1,1,100%,1,0,1:32,3 of 6,4 of 4,0 of 0,2 of 4,1 of 1,4 of 5
UFC Fight Night: Ngannou vs. Velasquez,Jimmie Rivera ,Aljamain Sterling ,Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Ryan Brueggeman,Chris Lee 27 - 30. Mike Bell 27 - 30. Chris Flores 27 - 30.,Jimmie Rivera ,0,24,84,28%,36 of 97,0,0,---,0,0,2:50,8 of 59,7 of 16,9 of 9,17 of 77,7 of 7,0 of 0,Aljamain Sterling ,0,101,176,57%,129 of 206,0,7,0%,0,0,2:45,36 of 96,39 of 51,26 of 29,77 of 146,23 of 29,1 of 1
UFC Fight Night: Ngannou vs. Velasquez,Myles Jury ,Andre Fili ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Raul Porrata 28 - 29. Derek Cleary 28 - 29. Chris Lee 28 - 29.,Andre Fili ,0,98,226,43%,98 of 226,0,0,---,0,0,0:00,65 of 179,9 of 16,24 of 31,98 of 226,0 of 0,0 of 0,Myles Jury ,1,76,143,53%,81 of 148,0,0,---,0,0,0:50,47 of 110,10 of 11,19 of 22,72 of 134,0 of 0,4 of 9
UFC Fight Night: Ngannou vs. Velasquez,Bryan Barberena ,Vicente Luque ,Welterweight Bout, KO/TKO ,3,4:54,3 Rnd (5-5-5),Jason Herzog,Knee to Head In Clinch,Vicente Luque ,1,163,241,67%,164 of 242,0,0,---,2,1,0:41,132 of 209,17 of 17,14 of 15,140 of 216,16 of 17,7 of 8,Bryan Barberena ,1,169,355,47%,195 of 382,0,1,0%,0,0,0:31,146 of 324,16 of 23,7 of 8,147 of 319,14 of 21,8 of 15
UFC Fight Night: Ngannou vs. Velasquez,Alex Caceres ,Kron Gracie ,Featherweight Bout, Submission ,1,2:06,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke,Alex Caceres ,0,4,14,28%,4 of 14,0,0,---,0,0,0:00,3 of 13,0 of 0,1 of 1,4 of 14,0 of 0,0 of 0,Kron Gracie ,0,2,10,20%,3 of 11,1,2,50%,1,0,1:14,1 of 6,0 of 0,1 of 4,2 of 10,0 of 0,0 of 0
UFC Fight Night: Ngannou vs. Velasquez,Cortney Casey ,Cynthia Calvillo ,Women's Strawweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 28 - 29. Dennis O'Connell 28 - 29. Chris Lee 27 - 30.,Cortney Casey ,0,73,176,41%,73 of 177,0,0,---,0,0,0:00,41 of 136,6 of 8,26 of 32,72 of 175,1 of 1,0 of 0,Cynthia Calvillo ,0,82,192,42%,82 of 192,0,6,0%,0,0,0:58,41 of 139,17 of 24,24 of 29,79 of 186,3 of 6,0 of 0
UFC Fight Night: Ngannou vs. Velasquez,James Vick ,Paul Felder ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Raul Porrata 28 - 29. Mike Bell 27 - 30. Derek Cleary 27 - 30.,James Vick ,0,61,121,50%,69 of 129,0,0,---,0,0,2:14,24 of 75,16 of 21,21 of 25,57 of 112,4 of 9,0 of 0,Paul Felder ,0,55,119,46%,70 of 134,0,0,---,0,0,1:13,31 of 79,4 of 8,20 of 32,48 of 109,7 of 10,0 of 0
UFC Fight Night: Ngannou vs. Velasquez,Cain Velasquez ,Francis Ngannou ,Heavyweight Bout, KO/TKO ,1,0:26,5 Rnd (5-5-5-5-5),Jason Herzog,Punches to Head On Ground,Francis Ngannou ,0,6,10,60%,6 of 10,0,0,---,0,0,0:00,6 of 10,0 of 0,0 of 0,3 of 6,1 of 1,2 of 3,Cain Velasquez ,0,1,3,33%,1 of 3,0,1,0%,0,0,0:02,0 of 1,1 of 1,0 of 1,1 of 3,0 of 0,0 of 0
UFC 234: Adesanya vs. Silva,Callan Potter ,Jalin Turner ,Lightweight Bout, KO/TKO ,1,0:53,3 Rnd (5-5-5),Peter Hickmott,Kick to Body At Distance,Callan Potter ,0,3,4,75%,3 of 4,0,1,0%,0,0,0:00,1 of 2,0 of 0,2 of 2,3 of 4,0 of 0,0 of 0,Jalin Turner ,1,9,17,52%,9 of 17,0,0,---,0,0,0:13,6 of 14,3 of 3,0 of 0,5 of 12,1 of 1,3 of 4
UFC 234: Adesanya vs. Silva,Teruto Ishihara ,Kyung Ho Kang ,Bantamweight Bout, Submission ,1,3:59,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Teruto Ishihara ,1,17,47,36%,18 of 48,0,0,---,0,0,0:12,12 of 36,1 of 5,4 of 6,11 of 35,6 of 10,0 of 2,Kyung Ho Kang ,1,26,58,44%,30 of 62,1,1,100%,1,0,1:14,19 of 46,7 of 12,0 of 0,15 of 40,11 of 18,0 of 0
UFC 234: Adesanya vs. Silva,Raulian Paiva ,Kai Kara-France ,Flyweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 28 - 29. Garth Harriman 29 - 28. Christopher Shen 28 - 29.,Kai Kara-France ,0,58,168,34%,60 of 170,2,7,28%,0,0,0:20,33 of 134,17 of 24,8 of 10,55 of 164,1 of 2,2 of 2,Raulian Paiva ,0,67,184,36%,71 of 188,0,4,0%,1,0,1:40,36 of 140,21 of 33,10 of 11,61 of 170,1 of 4,5 of 10
UFC 234: Adesanya vs. Silva,Austin Arnett ,Shane Young ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Greg Kleynjans,Evan Field 27 - 30. Albert Shen 27 - 30. Charlie Keech 27 - 30.,Shane Young ,1,120,308,38%,121 of 309,0,2,0%,0,0,0:16,69 of 237,32 of 46,19 of 25,119 of 307,1 of 1,0 of 0,Austin Arnett ,0,77,209,36%,78 of 210,0,0,---,0,0,0:00,72 of 201,3 of 6,2 of 2,76 of 208,1 of 1,0 of 0
UFC 234: Adesanya vs. Silva,Dong Hyun Ma ,Devonte Smith ,Lightweight Bout, KO/TKO ,1,3:53,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Devonte Smith ,1,19,43,44%,19 of 43,0,0,---,0,0,0:02,14 of 34,1 of 4,4 of 5,15 of 38,0 of 0,4 of 5,Dong Hyun Ma ,0,1,9,11%,1 of 9,0,0,---,0,0,0:00,0 of 4,0 of 1,1 of 4,1 of 9,0 of 0,0 of 0
UFC 234: Adesanya vs. Silva,Sam Alvey ,Jimmy Crute ,Light Heavyweight Bout, KO/TKO ,1,2:49,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,Jimmy Crute ,1,14,32,43%,17 of 36,0,0,---,0,0,0:08,7 of 23,2 of 3,5 of 6,9 of 23,0 of 0,5 of 9,Sam Alvey ,0,3,14,21%,3 of 14,0,1,0%,0,0,0:00,3 of 14,0 of 0,0 of 0,3 of 14,0 of 0,0 of 0
UFC 234: Adesanya vs. Silva,Nadia Kassem ,Montana De La Rosa ,Women's Flyweight Bout, Submission ,2,2:37,3 Rnd (5-5-5),Peter Hickmott,Armbar From Mount,Montana De La Rosa ,0,21,35,60%,79 of 101,2,3,66%,3,0,6:22,20 of 34,1 of 1,0 of 0,7 of 19,0 of 0,14 of 16,Nadia Kassem ,0,5,7,71%,15 of 20,0,0,---,0,0,0:50,1 of 3,1 of 1,3 of 3,3 of 4,1 of 1,1 of 2
UFC 234: Adesanya vs. Silva,Rani Yahya ,Ricky Simon ,Bantamweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Perceval,Mark Craig 27 - 30. Albert Shen 27 - 30. Anthony Dimitriou 25 - 30.,Rani Yahya ,0,47,186,25%,52 of 195,0,9,0%,0,0,0:00,29 of 159,10 of 14,8 of 13,47 of 186,0 of 0,0 of 0,Ricky Simon ,2,54,137,39%,66 of 150,4,5,80%,0,0,3:50,40 of 116,9 of 16,5 of 5,38 of 114,0 of 0,16 of 23
UFC 234: Adesanya vs. Silva,Marcos Mariano ,Lando Vannata ,Lightweight Bout, Submission ,1,4:55,3 Rnd (5-5-5),Steve Perceval,Kimura From Side Control,Lando Vannata ,0,20,40,50%,39 of 64,1,1,100%,1,0,3:35,18 of 37,0 of 1,2 of 2,2 of 4,0 of 0,18 of 36,Marcos Mariano ,0,3,9,33%,4 of 11,0,0,---,0,0,0:00,2 of 7,0 of 0,1 of 2,1 of 7,0 of 0,2 of 2
UFC 234: Adesanya vs. Silva,Anderson Silva ,Israel Adesanya ,Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Garth Harriman 28 - 29. Albert Shen 27 - 30. Charlie Keech 27 - 30.,Israel Adesanya ,0,65,132,49%,65 of 132,0,0,---,0,0,0:00,27 of 79,9 of 22,29 of 31,63 of 129,2 of 3,0 of 0,Anderson Silva ,0,31,72,43%,34 of 75,0,0,---,0,0,0:00,16 of 49,8 of 12,7 of 11,26 of 67,5 of 5,0 of 0
UFC Fight Night: Assuncao vs. Moraes 2,Ricardo Ramos ,Said Nurmagomedov ,Bantamweight Bout, KO/TKO ,1,2:28,3 Rnd (5-5-5),Joao Claudio Soares,Spinning Back Kick Body,Ricardo Ramos ,0,2,8,25%,2 of 8,0,0,---,0,0,0:00,1 of 5,1 of 2,0 of 1,2 of 8,0 of 0,0 of 0,Said Nurmagomedov ,1,17,24,70%,17 of 24,0,0,---,0,0,0:05,6 of 13,6 of 6,5 of 5,12 of 19,5 of 5,0 of 0
UFC Fight Night: Assuncao vs. Moraes 2,Felipe Colares ,Geraldo de Freitas ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Osiris Maia,Chris Lee 27 - 30. Mike Bell 27 - 30. Guilherme Bravo 26 - 30.,Geraldo de Freitas ,0,49,76,64%,68 of 96,6,9,66%,0,2,6:36,31 of 54,14 of 18,4 of 4,33 of 56,13 of 16,3 of 4,Felipe Colares ,0,21,51,41%,28 of 60,3,8,37%,0,0,4:12,11 of 36,6 of 8,4 of 7,12 of 39,8 of 9,1 of 3
UFC Fight Night: Assuncao vs. Moraes 2,Junior Albini ,Jairzinho Rozenstruik ,Heavyweight Bout, KO/TKO ,2,0:54,3 Rnd (5-5-5),Joao Claudio Soares,Kick to Head At Distance,Junior Albini ,0,18,27,66%,26 of 35,2,6,33%,0,0,3:07,7 of 16,3 of 3,8 of 8,15 of 22,1 of 2,2 of 3,Jairzinho Rozenstruik ,1,19,27,70%,26 of 34,0,0,---,0,1,0:14,15 of 23,0 of 0,4 of 4,9 of 17,5 of 5,5 of 5
UFC Fight Night: Assuncao vs. Moraes 2,Max Griffin ,Thiago Alves ,Welterweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Guilherme Bravo 28 - 29. Mike Bell 29 - 28. Hallison Pontes 28 - 29.,Thiago Alves ,0,83,135,61%,91 of 143,0,1,0%,0,0,1:13,45 of 90,16 of 21,22 of 24,68 of 120,15 of 15,0 of 0,Max Griffin ,1,112,154,72%,117 of 159,2,4,50%,0,1,3:38,77 of 115,35 of 39,0 of 0,76 of 108,36 of 44,0 of 2
UFC Fight Night: Assuncao vs. Moraes 2,Taila Santos ,Mara Romero Borella ,Women's Flyweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,Chris Lee 29 - 28. Hallison Pontes 28 - 29. Joseph Terrell 28 - 29.,Mara Romero Borella ,0,29,83,34%,84 of 140,2,5,40%,0,0,5:56,14 of 64,7 of 9,8 of 10,15 of 62,5 of 9,9 of 12,Taila Santos ,0,36,100,36%,57 of 123,1,1,100%,2,0,2:45,17 of 69,10 of 20,9 of 11,27 of 89,9 of 11,0 of 0
UFC Fight Night: Assuncao vs. Moraes 2,Anthony Hernandez ,Markus Perez ,Middleweight Bout, Submission ,2,1:07,3 Rnd (5-5-5),Eduardo Herdy,Anaconda Choke On Ground,Markus Perez ,0,16,32,50%,19 of 35,1,7,14%,1,0,2:39,9 of 24,5 of 6,2 of 2,12 of 23,4 of 9,0 of 0,Anthony Hernandez ,0,17,35,48%,21 of 39,0,0,---,0,0,0:38,15 of 32,0 of 1,2 of 2,6 of 19,11 of 16,0 of 0
UFC Fight Night: Assuncao vs. Moraes 2,Sarah Frota ,Livinha Souza ,Women's Strawweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Camila Albuquerque,Guilherme Bravo 28 - 29. Joseph Terrell 28 - 29. Hallison Pontes 29 - 28.,Livinha Souza ,0,23,65,35%,75 of 118,4,10,40%,3,0,3:42,14 of 49,6 of 10,3 of 6,15 of 46,3 of 3,5 of 16,Sarah Frota ,0,32,90,35%,78 of 143,0,0,---,0,0,4:36,23 of 72,7 of 12,2 of 6,23 of 80,4 of 4,5 of 6
UFC Fight Night: Assuncao vs. Moraes 2,Justin Ledet ,Johnny Walker ,Light Heavyweight Bout, KO/TKO ,1,0:15,3 Rnd (5-5-5),Eduardo Herdy,Spinning Back Fist Head,Johnny Walker ,1,7,8,87%,7 of 8,0,0,---,0,0,0:04,6 of 7,0 of 0,1 of 1,4 of 4,0 of 0,3 of 4,Justin Ledet ,0,0,4,0%,0 of 4,0,0,---,0,0,0:00,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
UFC Fight Night: Assuncao vs. Moraes 2,David Teymur ,Charles Oliveira ,Lightweight Bout, Submission ,2,0:55,3 Rnd (5-5-5),Jerin Valel,Anaconda Choke On Ground,Charles Oliveira ,0,28,58,48%,31 of 61,1,1,100%,1,0,0:13,21 of 42,4 of 12,3 of 4,21 of 45,7 of 13,0 of 0,David Teymur ,1,26,53,49%,31 of 59,0,0,---,0,0,0:35,16 of 40,6 of 8,4 of 5,23 of 47,0 of 0,3 of 6
UFC Fight Night: Assuncao vs. Moraes 2,Lyman Good ,Demian Maia ,Welterweight Bout, Submission ,1,2:38,3 Rnd (5-5-5),Osiris Maia,Rear Naked Choke,Demian Maia ,0,0,1,0%,8 of 9,2,4,50%,2,0,2:11,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Lyman Good ,0,0,2,0%,0 of 2,0,0,---,0,0,0:00,0 of 2,0 of 0,0 of 0,0 of 2,0 of 0,0 of 0
