Title,Loser,Winner,Weight_Class,Method,Rounds,Time,Time Format,Refree,Details,Fighter(A),KnockDowns(A),LANDED SIG. STR(A),ATTEMPTED SIG. STR(A),SIG. STR%(A),TOTAL STR(A),LANDED_TD(A),ATTEMPTED_TD(A),TD% (A),SUB_ATT(A),REV(A),CTRL(A),HEAD(A),BODY(A),LEG(A),DISTANCE(A),CLINCH(A),GROUND(A),Fighter(B),KnockDowns(B),LANDED SIG. STR(B),ATTEMPTED SIG. STR(B),SIG. STR%(B),TOTAL STR(B),LANDED_TD(B),ATTEMPTED_TD(B),TD% (B),SUB_ATT(B),REV(B),CTRL(B),HEAD(B),BODY(B),LEG(B),DISTANCE(B),CLINCH(B),GROUND(B)
UFC 164: Henderson vs Pettis 2,Erik Koch ,Dustin Poirier ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Rob Hinds,Otto Torriero 28 - 29. Sal D'amato 27 - 29. Chris Lee 27 - 29.,Erik Koch ,0,32,74,43%,50 of 93,0,0,---,5,0,3:29,17 of 58,12 of 12,3 of 4,13 of 53,13 of 14,6 of 7,Dustin Poirier ,2,54,92,58%,74 of 112,2,6,33%,2,0,7:31,40 of 72,9 of 12,5 of 8,19 of 49,13 of 16,22 of 27
UFC 164: Henderson vs Pettis 2,Brandon Vera ,Ben Rothwell ,Heavyweight Bout, KO/TKO ,3,1:54,3 Rnd (5-5-5),Herb Dean,Punches to Head In Clinch,Ben Rothwell ,1,56,103,54%,60 of 107,0,0,---,0,0,1:39,40 of 85,10 of 11,6 of 7,35 of 75,21 of 26,0 of 2,Brandon Vera ,0,41,63,65%,47 of 69,0,1,0%,0,0,0:00,12 of 33,18 of 19,11 of 11,29 of 49,12 of 14,0 of 0
UFC 164: Henderson vs Pettis 2,Clay Guida ,Chad Mendes ,Featherweight Bout, KO/TKO ,3,0:30,3 Rnd (5-5-5),Yves Lavigne,Punch to Head In Clinch,Chad Mendes ,1,32,66,48%,40 of 74,3,5,60%,1,0,3:07,24 of 57,4 of 5,4 of 4,15 of 47,4 of 4,13 of 15,Clay Guida ,0,17,99,17%,19 of 101,0,4,0%,0,0,0:05,11 of 90,1 of 1,5 of 8,16 of 98,1 of 1,0 of 0
UFC 164: Henderson vs Pettis 2,Frank Mir ,Josh Barnett ,Heavyweight Bout, KO/TKO ,1,1:56,3 Rnd (5-5-5),Rob Hinds,Knee to Head In Clinch,Frank Mir ,0,9,16,56%,20 of 29,0,0,---,0,0,0:00,6 of 13,3 of 3,0 of 0,0 of 1,9 of 15,0 of 0,Josh Barnett ,1,26,38,68%,33 of 46,0,0,---,0,0,1:11,13 of 24,13 of 14,0 of 0,1 of 4,25 of 33,0 of 1
UFC 164: Henderson vs Pettis 2,Benson Henderson ,Anthony Pettis ,UFC Lightweight Title Bout, Submission ,1,4:41,5 Rnd (5-5-5-5-5),Herb Dean,Armbar From Bottom Guard,Benson Henderson ,0,11,16,68%,26 of 37,0,3,0%,0,0,3:09,3 of 8,3 of 3,5 of 5,4 of 9,6 of 6,1 of 1,Anthony Pettis ,0,9,16,56%,10 of 17,0,0,---,1,0,0:00,3 of 9,6 of 7,0 of 0,9 of 16,0 of 0,0 of 0
UFC Fight Night: Condit vs Kampmann 2,James Head ,Jason High ,Welterweight Bout, Submission ,1,1:41,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Mount,James Head ,0,0,1,0%,0 of 1,0,0,---,0,0,0:03,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,Jason High ,0,1,6,16%,8 of 13,1,1,100%,2,0,1:01,1 of 5,0 of 1,0 of 0,0 of 3,0 of 0,1 of 3
UFC Fight Night: Condit vs Kampmann 2,Hatsu Hioki ,Darren Elkins ,Featherweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Sal D'amato 28 - 29. Roy Silbert 28 - 29. Glenn Trowbridge 28 - 29.,Darren Elkins ,0,48,144,33%,100 of 205,2,5,40%,0,0,6:57,36 of 120,12 of 24,0 of 0,25 of 103,6 of 12,17 of 29,Hatsu Hioki ,0,31,69,44%,73 of 114,1,1,100%,0,1,1:30,14 of 39,16 of 29,1 of 1,27 of 65,2 of 2,2 of 2
UFC Fight Night: Condit vs Kampmann 2,Justin Edwards ,Brandon Thatch ,Welterweight Bout, KO/TKO ,1,1:23,3 Rnd (5-5-5),Rob Hinds,Punch to Head In Clinch,Justin Edwards ,0,2,10,20%,2 of 10,0,2,0%,0,0,0:02,1 of 9,1 of 1,0 of 0,1 of 7,1 of 3,0 of 0,Brandon Thatch ,2,17,26,65%,24 of 33,1,1,100%,0,0,0:19,13 of 22,4 of 4,0 of 0,4 of 8,9 of 12,4 of 6
UFC Fight Night: Condit vs Kampmann 2,Papy Abedi ,Dylan Andrews ,Middleweight Bout, KO/TKO ,3,1:32,3 Rnd (5-5-5),Herb Dean,Punch to Head In Clinch,Dylan Andrews ,0,20,45,44%,21 of 46,2,5,40%,0,0,1:09,12 of 35,4 of 4,4 of 6,13 of 35,3 of 4,4 of 6,Papy Abedi ,0,19,40,47%,27 of 48,3,5,60%,3,0,5:12,12 of 28,5 of 9,2 of 3,11 of 30,0 of 0,8 of 10
UFC Fight Night: Condit vs Kampmann 2,Robert McDaniel ,Brad Tavares ,Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Doug Crosby 28 - 29. Sal D'amato 28 - 29. Roy Silbert 28 - 29.,Brad Tavares ,0,30,79,37%,38 of 87,0,1,0%,0,0,1:37,7 of 48,7 of 13,16 of 18,21 of 70,5 of 5,4 of 4,Robert McDaniel ,0,14,56,25%,35 of 78,1,3,33%,0,0,4:42,7 of 38,3 of 7,4 of 11,10 of 49,2 of 2,2 of 5
